Bx	Pth	Multipactor Order
0.034674	35544.700000	3.518080
0.020893	48045.300000	5.543780
0.034674	36326.000000	3.397930
0.027542	55076.700000	4.070940
0.036308	38669.900000	3.511420
0.020893	46482.700000	5.528660
0.027542	58201.800000	4.082850
0.036308	37888.600000	3.208670
0.020893	46482.700000	5.271560
0.043652	62108.100000	2.957040
0.028840	48826.600000	4.087470
0.036308	37888.600000	3.059250
0.043652	58201.800000	3.390820
0.002089	80465.000000	56.915300
0.028840	48826.600000	4.039520
0.036308	37888.600000	3.218010
0.043652	62889.400000	3.143390
0.001660	83590.100000	77.486300
0.028840	48826.600000	3.962850
0.002884	72652.000000	42.050700
0.043652	59764.300000	2.939790
0.036308	39451.200000	3.258940
0.003631	67964.300000	33.335400
0.045709	52732.900000	2.846620
0.028840	48826.600000	3.934420
0.045709	55076.700000	2.770030
0.038019	45701.500000	3.092930
0.045709	56639.300000	2.853530
0.028840	49607.800000	3.880910
0.045709	52732.900000	2.899710
0.045709	48045.300000	2.576820
0.038019	44138.900000	3.084380
0.030200	41795.000000	3.905840
0.047863	57420.500000	2.193650
0.038019	48045.300000	2.936000
0.030200	41795.000000	3.960550
0.047863	58983.100000	2.822780
0.038019	44920.200000	3.009480
0.047863	59764.300000	2.458210
0.030200	43357.600000	3.853060
0.047863	57420.500000	2.795680
0.038019	44920.200000	3.050680
0.047863	58983.100000	2.896390
0.030200	41795.000000	4.098820
0.039811	66014.500000	2.770540
0.050119	44920.200000	2.137690
0.004571	65233.200000	24.660400
0.030200	41013.800000	3.809400
0.050119	44920.200000	2.208210
0.039811	69526.900000	2.744230
0.050119	45701.500000	2.181470
0.031623	37888.600000	3.893370
0.050119	44920.200000	2.158240
0.039811	65233.200000	2.624150
0.050119	44920.200000	2.146180
0.031623	38669.900000	3.778620
0.052481	33982.100000	2.157150
0.039811	64451.900000	2.748610
0.052481	35544.700000	2.090770
0.001047	74214.600000	62.624500
0.031623	38669.900000	3.755280
0.052481	34763.400000	2.207190
0.039811	63670.700000	2.624630
0.052481	34763.400000	2.232880
0.031623	37888.600000	3.686150
0.002884	69526.900000	45.124900
0.052481	34763.400000	2.203560
0.003631	67964.300000	32.352700
0.041687	75777.200000	3.428570
0.054954	27147.700000	2.115840
0.031623	38669.900000	3.796950
0.054954	27538.400000	2.204380
0.033113	36326.000000	3.633010
0.054954	27929.000000	2.135980
0.041687	75777.200000	2.667070
0.054954	27538.400000	2.097980
0.033113	35544.700000	3.510180
0.041687	80465.000000	3.112860
0.054954	27147.700000	2.219230
0.033113	35544.700000	3.639680
0.057544	22069.400000	2.110160
0.033113	35544.700000	3.750740
0.057544	22069.400000	2.193680
