By	Pth	Multipactor Order
0.121000	47264.000000	40.272100
0.120000	47264.000000	44.357200
0.122500	46482.700000	40.733900
0.123500	46482.700000	42.914400
0.121500	47264.000000	44.645700
0.124500	47264.000000	44.172200
0.120000	47264.000000	41.495100
0.122500	47264.000000	44.225200
0.121500	46482.700000	42.393600
0.124500	46482.700000	46.446600
0.120500	47264.000000	42.638500
0.123500	47264.000000	39.792100
0.122500	46482.700000	44.897500
0.121500	44920.200000	39.608000
0.125000	47264.000000	40.410700
0.123500	46482.700000	41.158100
0.120500	46482.700000	45.128600
0.122500	47264.000000	40.705400
0.121500	47264.000000	42.116900
0.125000	47264.000000	44.575700
0.124000	45701.500000	42.782500
0.120500	46482.700000	44.011600
0.121500	47264.000000	43.549600
0.123000	46482.700000	40.911000
0.125000	45701.500000	43.123400
0.124000	47264.000000	38.423100
0.120500	46482.700000	46.326600
0.122000	45701.500000	41.151600
0.123000	47264.000000	45.072700
0.124000	47264.000000	39.360600
0.125000	46482.700000	40.431000
0.120500	48045.300000	42.212900
0.123000	46482.700000	40.823700
0.122000	46482.700000	42.598200
0.124000	47264.000000	40.960800
0.125000	46482.700000	42.744700
0.121000	46482.700000	42.308500
0.125500	46482.700000	48.418200
0.126500	46482.700000	39.253300
0.127500	44920.200000	42.233600
0.128500	45701.500000	40.847500
0.129500	44920.200000	41.913100
0.125500	47264.000000	43.341400
0.127500	47264.000000	41.505200
0.126500	47264.000000	40.269600
0.128500	46482.700000	45.102800
0.130000	44138.900000	41.585500
0.125500	47264.000000	40.973800
0.127500	48045.300000	41.472100
0.126500	46482.700000	38.797400
0.129000	45701.500000	43.480900
0.130000	45701.500000	42.756200
0.125500	46482.700000	44.084400
0.126500	47264.000000	42.864100
0.128000	45701.500000	42.440700
0.130000	43357.600000	41.453900
0.129000	45701.500000	46.141400
0.125500	47264.000000	43.454100
0.127000	46482.700000	43.127600
0.128000	44920.200000	41.171700
0.130000	44138.900000	44.036100
0.129000	44920.200000	42.841100
0.126000	46482.700000	43.721300
0.127000	46482.700000	43.653500
0.128000	45701.500000	42.367600
0.130000	44920.200000	44.845100
0.126000	46482.700000	44.087100
0.129000	44138.900000	41.204100
0.127000	45701.500000	42.758400
0.128000	45701.500000	44.493400
0.130500	44920.200000	42.379900
0.126000	45701.500000	42.102200
0.127000	45701.500000	41.697400
0.128000	46482.700000	40.087900
0.129000	46482.700000	44.358500
0.130500	44138.900000	41.584700
0.126000	46482.700000	44.337300
0.127000	45701.500000	43.783100
0.128500	45701.500000	41.870800
0.129500	46482.700000	40.995800
0.126000	46482.700000	40.647300
0.127500	45701.500000	40.403800
0.130500	44920.200000	42.401900
0.128500	45701.500000	40.466300
0.129500	44138.900000	43.101900
0.126500	45701.500000	41.332800
0.127500	46482.700000	40.060000
0.130500	44138.900000	44.797700
0.128500	45701.500000	40.245100
0.129500	45701.500000	45.198000
0.131000	44138.900000	41.418200
0.132000	44138.900000	43.514900
0.133000	43357.600000	43.367500
0.130500	44920.200000	41.138600
0.129500	44920.200000	44.601700
0.132000	42576.300000	42.411300
0.131000	42576.300000	41.915200
0.133000	43357.600000	39.273900
0.134000	44920.200000	43.533100
0.131000	44138.900000	42.104200
0.135000	45701.500000	43.801100
0.132000	44138.900000	42.195800
0.133000	43357.600000	49.053500
0.134000	44920.200000	42.993600
0.131000	43357.600000	43.210300
0.132000	43357.600000	42.356100
0.135500	47264.000000	41.773900
0.133500	44138.900000	44.627100
0.134500	44920.200000	41.816200
0.131000	43357.600000	44.359600
0.135500	45701.500000	40.778200
0.133500	44138.900000	44.080100
0.132500	43357.600000	44.623400
0.134500	44920.200000	44.084200
0.131500	44138.900000	41.859200
0.135500	45701.500000	40.308700
0.133500	44920.200000	41.922100
0.132500	43357.600000	45.215300
0.134500	44920.200000	37.749100
0.133500	42576.300000	42.774900
0.131500	44138.900000	39.711900
0.135500	45701.500000	42.963100
0.132500	44138.900000	42.723300
0.134500	44920.200000	40.753900
0.131500	43357.600000	44.606700
0.133500	43357.600000	42.901700
0.135500	44920.200000	44.262600
0.134500	44920.200000	44.241500
0.132500	44138.900000	44.915200
0.131500	44138.900000	42.558500
0.134000	44920.200000	42.393100
0.136000	44920.200000	41.398900
0.132500	44138.900000	43.788300
0.134000	43357.600000	45.593000
0.135000	44920.200000	41.641300
0.131500	44138.900000	40.653900
0.136000	46482.700000	38.698000
0.133000	43357.600000	42.700400
0.132000	43357.600000	44.504200
0.134000	44920.200000	44.160400
0.135000	45701.500000	42.917800
0.136000	45701.500000	44.253400
0.136500	45701.500000	44.748900
0.133000	44138.900000	51.919900
0.137500	47264.000000	42.906300
0.135000	46482.700000	40.381800
0.136000	45701.500000	41.656500
0.137500	46482.700000	44.820000
0.138500	47264.000000	44.201000
0.136500	46482.700000	43.469700
0.135000	44920.200000	41.471600
0.136500	44920.200000	42.103400
0.138500	46482.700000	40.170400
0.136000	46482.700000	40.760500
0.137500	45701.500000	44.200900
0.139500	45701.500000	40.868400
0.136500	46482.700000	42.655700
0.138500	47264.000000	41.675600
0.137500	46482.700000	42.537600
0.139500	46482.700000	44.412100
0.136500	45701.500000	41.791100
0.139000	46482.700000	42.928200
0.138000	44920.200000	44.829300
0.140000	46482.700000	40.668100
0.137000	47264.000000	43.868200
0.138000	47264.000000	38.983500
0.139000	47264.000000	41.747800
0.140000	47264.000000	40.983700
0.137000	46482.700000	43.089500
0.139000	46482.700000	41.723700
0.138000	46482.700000	41.613900
0.140000	46482.700000	44.478000
0.139000	47264.000000	42.508200
0.138000	46482.700000	43.467300
0.137000	46482.700000	43.755000
0.140000	46482.700000	41.118700
0.139000	47264.000000	44.214900
0.138000	46482.700000	43.283900
0.137000	46482.700000	44.929900
0.140000	46482.700000	43.090000
0.139500	46482.700000	42.045100
0.138500	47264.000000	42.836800
0.137000	46482.700000	43.672800
0.138500	47264.000000	43.302300
0.139500	46482.700000	43.874500
0.137500	47264.000000	41.269200
0.139500	47264.000000	42.009300
