Bx	Pth
0.017575	25780.800000
0.014563	28435.800000
0.012068	27810.700000
0.015999	25155.800000
0.017575	25780.800000
0.013257	25468.300000
0.010000	27810.700000
0.010985	26405.800000
0.014563	27810.700000
0.015999	24843.300000
0.017575	26405.800000
0.013257	24843.300000
0.015999	24843.300000
0.012068	27810.700000
0.014563	27185.700000
0.018421	27810.700000
0.010000	27185.700000
0.010985	26093.300000
0.018421	27810.700000
0.016768	25780.800000
0.013257	25468.300000
0.015264	27185.700000
0.015264	27810.700000
0.016768	24218.200000
0.012068	27810.700000
0.018421	27810.700000
0.016768	24843.300000
0.013895	26093.300000
0.010985	26093.300000
